ちょっとよろしいですか	はい、お問い合わせいただきありがとうございます
少しお尋ねしたいことが	かしこまりました。どのようなご質問でしょうか。
ネットニュースで記事を見たんです	ありがとうございます。弊社のニュースを見ていただいたのですね。
そうなんです	こちらのニュースでございますでしょうか。http://jp.techcrunch.com/2016/04/20/alt/
ええと、ちょっと違いますね	弊社のプレスリリースは以下となりますが、こちらにありますでしょうか。http://www.news2u.net/corporations/CR20152333/releases/
わ、ありがとうございます。	こちらの中で特にご興味を持たれた記事がありましたでしょうか。
そうそう、ええと	この中で興味深いのは、アイドルをAI化でしょうか。
そうそう！	こちらは非常に面白い取り組みでございました。社外からの反響も大きく多くのお声をいただきました。
これすごいですよね	ありがとうございます。
こんなことができるんですね	はい、AIの可能性は無限大でございますね。
オルツって面白いんですね	ありがとうございます。そう言っていただけると大変光栄でございます。
もっと知りたいんですけど	何なりとお答えいたします。どのようなことについてご興味がおありでしょうか。
従業員は何人くらいいるんですか？	現在は約20名ほどですがただ今、日々増員中でございます
そうなんですね	はい
技術者はどれくらい？	エンジニアがほぼ8割くらいを占めております
そんな少人数でやってるんですね	はい、弊社にはAI分野において最新技術を持つエンジニアが多数おります
それはすごい	ありがとうございます
ところであなたのお名前は？	オペレータのAnnaと申します
いい名前ですね	ありがとうございます
ありがとうございました	こちらこそお問い合わせいただきありがとうございました
